Sample in Buffer,Sample in Window,TRIGGER,design_receiver_i/receiver_sync_in_1,design_receiver_i/receiver_ad_1[7:0],design_receiver_i/ReceiverWrapper_0_receiver_sync_out,design_receiver_i/ReceiverWrapper_0_receiver_da[7:0],design_receiver_i/ReceiverWrapper_0_receiver_ad_clk,design_receiver_i/ReceiverWrapper_0_receiver_da_clk
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,HEX,BINARY,HEX,HEX
3215,3215,0,1,125,1,01111111,0,1
3216,3216,0,1,126,1,01111111,0,1
3217,3217,0,1,126,1,01111111,0,1
3218,3218,0,1,126,0,01111111,0,0
3219,3219,0,1,125,0,01111111,0,0
3220,3220,0,1,126,0,01111111,0,0
3221,3221,0,1,125,0,01111111,0,0
3222,3222,0,1,126,0,01111111,0,0
3223,3223,0,1,126,0,01111111,0,0
3224,3224,0,1,126,0,01111111,0,0
3225,3225,0,1,126,0,01111111,0,0
3226,3226,0,1,125,0,01111111,0,0
3227,3227,0,1,126,0,01111111,0,0
3228,3228,0,1,126,0,01111111,0,0
3229,3229,0,1,126,0,01111111,0,0
3230,3230,0,1,126,0,01111111,0,0
3231,3231,0,1,126,0,01111111,0,0
3232,3232,0,1,125,0,01111111,0,0
3233,3233,0,1,125,0,01111111,0,0
3234,3234,0,1,126,0,01111111,0,0
3235,3235,0,1,126,0,01111111,0,0
3236,3236,0,1,126,0,01111111,0,0
3237,3237,0,1,125,0,01111111,0,0
3238,3238,0,1,125,0,01111111,0,0
3239,3239,0,1,125,0,01111111,0,0
3240,3240,0,1,126,0,01111111,0,0
3241,3241,0,1,126,1,01111111,0,1
3242,3242,0,1,126,1,01111111,0,1
3243,3243,0,1,126,1,01111111,0,1
3244,3244,0,1,126,1,01111111,0,1
3245,3245,0,1,126,1,01111111,0,1
3246,3246,0,1,126,1,01111111,0,1
3247,3247,0,1,126,1,01111111,0,1
3248,3248,0,1,126,1,01111111,0,1
3249,3249,0,1,126,1,01111111,0,1
3250,3250,0,1,126,1,01111111,0,1
3251,3251,0,1,125,1,01111111,0,1
3252,3252,0,1,126,1,01111111,0,1
3253,3253,0,1,126,1,01111111,0,1
3254,3254,0,1,126,1,01111111,0,1
3255,3255,0,1,126,1,01111111,0,1
3256,3256,0,1,126,1,01111111,0,1
3257,3257,0,1,126,1,01111111,0,1
3258,3258,0,1,125,1,01111111,0,1
3259,3259,0,1,126,1,01111111,0,1
3260,3260,0,1,126,1,01111111,0,1
3261,3261,0,1,126,1,01111111,0,1
3262,3262,0,1,125,1,01111111,0,1
3263,3263,0,1,126,0,01111111,0,0
3264,3264,0,1,125,0,01111111,0,0
3265,3265,0,1,126,0,01111111,0,0
3266,3266,0,1,126,0,01111111,0,0
3267,3267,0,1,126,0,01111111,0,0
3268,3268,0,1,126,0,01111111,0,0
3269,3269,0,1,126,0,01111111,0,0
3270,3270,0,1,125,0,01111111,0,0
3271,3271,0,1,126,0,01111111,0,0
3272,3272,0,1,126,0,01111111,0,0
3273,3273,0,1,125,0,01111111,0,0
3274,3274,0,1,126,0,01111111,0,0
3275,3275,0,1,125,0,01111111,0,0
3276,3276,0,1,126,0,01111111,0,0
3277,3277,0,1,126,0,01111111,0,0
3278,3278,0,1,125,0,01111111,0,0
3279,3279,0,1,126,0,01111111,0,0
3280,3280,0,1,126,0,01111111,0,0
3281,3281,0,1,126,0,01111111,0,0
3282,3282,0,1,126,0,01111111,0,0
3283,3283,0,1,126,0,01111111,0,0
3284,3284,0,1,126,0,01111111,0,0
3285,3285,0,1,126,0,01111111,0,0
3286,3286,0,1,125,1,01111111,0,1
3287,3287,0,1,126,1,01111111,0,1
3288,3288,0,1,126,1,01111111,0,1
3289,3289,0,1,126,1,01111111,0,1
3290,3290,0,1,125,1,01111111,0,1
3291,3291,0,1,126,1,01111111,0,1
3292,3292,0,1,126,1,01111111,0,1
3293,3293,0,1,126,1,01111111,0,1
3294,3294,0,1,126,1,01111111,0,1
3295,3295,0,1,126,1,01111111,0,1
3296,3296,0,1,126,1,01111111,0,1
3297,3297,0,1,126,1,01111111,0,1
3298,3298,0,1,125,1,01111111,0,1
3299,3299,0,1,125,1,01111111,0,1
3300,3300,0,1,126,1,01111111,0,1
3301,3301,0,1,126,1,01111111,0,1
3302,3302,0,1,126,1,01111111,0,1
3303,3303,0,1,126,1,01111111,0,1
3304,3304,0,1,126,1,01111111,0,1
3305,3305,0,1,126,1,01111111,0,1
3306,3306,0,1,125,1,01111111,0,1
3307,3307,0,1,125,1,01111111,0,1
3308,3308,0,1,125,0,01111111,0,0
3309,3309,0,1,126,0,01111111,0,0
3310,3310,0,1,126,0,01111111,0,0
3311,3311,0,1,126,0,01111111,0,0
3312,3312,0,1,126,0,01111111,0,0
3313,3313,0,1,126,0,01111111,0,0
3314,3314,0,1,126,0,01111111,0,0
3315,3315,0,1,126,0,01111111,0,0
3316,3316,0,1,125,0,01111111,0,0
3317,3317,0,1,126,0,01111111,0,0
3318,3318,0,1,126,0,01111111,0,0
3319,3319,0,1,126,0,01111111,0,0
3320,3320,0,1,126,0,01111111,0,0
3321,3321,0,1,126,0,01111111,0,0
3322,3322,0,1,125,0,01111111,0,0
3323,3323,0,1,126,0,01111111,0,0
3324,3324,0,1,126,0,01111111,0,0
3325,3325,0,1,125,0,01111111,0,0
3326,3326,0,1,126,0,01111111,0,0
3327,3327,0,1,125,0,01111111,0,0
3328,3328,0,1,126,0,01111111,0,0
3329,3329,0,1,125,0,01111111,0,0
3330,3330,0,1,125,0,01111111,0,0
3331,3331,0,1,126,1,01111111,0,1
3332,3332,0,1,126,1,01111111,0,1
3333,3333,0,1,125,1,01111111,0,1
3334,3334,0,1,126,1,01111111,0,1
3335,3335,0,1,126,1,01111111,0,1
3336,3336,0,1,126,1,01111111,0,1
3337,3337,0,1,125,1,01111111,0,1
